:START_ID,:END_ID,:TYPE,restriction,restriction_value,label
obo.PATO_0000033,UPPER_AND_62,member_of,,,
UPPER_BLANK_76,UPPER_AND_62,member_of,,,
UPPER_BLANK_76,UPPER_AND_63,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CHEBI_18154,UPPER_AND_63,member_of,SOME,,
UPPER_BLANK_77,UPPER_AND_63,member_of,SOME,,
UPPER_BLANK_77,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200007,UPPER_AND_64,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_64,member_of,,,
UPPER_BLANK_78,UPPER_AND_64,member_of,,,
UPPER_BLANK_78,UPPER_AND_65,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CHEBI_28017,UPPER_AND_65,member_of,SOME,,
UPPER_BLANK_79,UPPER_AND_65,member_of,SOME,,
UPPER_BLANK_79,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200008,UPPER_AND_66,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_66,member_of,,,
UPPER_BLANK_80,UPPER_AND_66,member_of,,,
UPPER_BLANK_80,UPPER_AND_67,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CHEBI_17309,UPPER_AND_67,member_of,SOME,,
UPPER_BLANK_81,UPPER_AND_67,member_of,SOME,,
UPPER_BLANK_81,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200009,UPPER_AND_68,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_68,member_of,,,
UPPER_BLANK_82,UPPER_AND_68,member_of,,,
UPPER_BLANK_82,UPPER_AND_69,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CHEBI_62967,UPPER_AND_69,member_of,SOME,,
UPPER_BLANK_83,UPPER_AND_69,member_of,SOME,,
UPPER_BLANK_83,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200010,UPPER_AND_70,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_70,member_of,,,
UPPER_BLANK_84,UPPER_AND_70,member_of,,,
UPPER_BLANK_84,UPPER_AND_71,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CHEBI_61266,UPPER_AND_71,member_of,SOME,,
UPPER_BLANK_85,UPPER_AND_71,member_of,SOME,,
UPPER_BLANK_85,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200011,UPPER_AND_72,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_72,member_of,,,
UPPER_BLANK_86,UPPER_AND_72,member_of,,,
UPPER_BLANK_86,UPPER_AND_73,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CHEBI_15443,UPPER_AND_73,member_of,SOME,,
UPPER_BLANK_87,UPPER_AND_73,member_of,SOME,,
UPPER_BLANK_87,obo.BFO_0000040,obo.BFO_0000050,SOME,,part of;part of;part_of
obo.CDNO_0200012,UPPER_AND_74,equivalent_to,,,
obo.PATO_0000033,UPPER_AND_74,member_of,,,
UPPER_BLANK_88,UPPER_AND_74,member_of,,,
UPPER_BLANK_88,UPPER_AND_75,obo.RO_0000052,SOME,,characteristic of;inheres in
obo.CHEBI_35381,UPPER_AND_75,member_of,SOME,,
